,행정구역,평균,남자,여자
0,전동면,58.5,56.7,60.5
1,연동면,57.4,54.6,60.4
2,금남면,54.5,52.3,57.1
3,전의면,54.2,51.7,57.0
4,연서면,53.0,50.4,56.1
5,소정면,52.8,51.1,54.7
6,연기면,51.8,49.8,54.6
7,부강면,51.1,49.0,53.8
8,장군면,50.0,48.1,52.7
9,조치원읍,44.4,43.1,45.8
12,도담동,37.8,37.1,38.5
13,대평동,37.5,36.7,38.3
14,한솔동,37.1,36.4,37.7
15,종촌동,36.8,36.2,37.3
16,보람동,36.1,35.8,36.4
17,소담동,35.7,35.4,36.1
18,아름동,35.5,34.9,36.0
19,고운동,35.4,34.8,36.0
20,새롬동,35.3,34.9,35.6
21,다정동,35.0,34.5,35.4
22,어진동,34.2,34.3,34.0
23,나성동,33.8,34.1,33.5
24,해밀동,33.6,33.2,33.9
25,반곡동,33.3,33.3,33.4
