,region,mage0s,mage10s,mage20s,mage30s,mage40s,mage50s,mage60s,mage70s,fage0s,fage10s,fage20s,fage30s,fage40s,fage50s,fage60s,fage70s,total
0,조치원읍,1233,2125,3519,2684,3335,3580,2986,2208,1141,2012,2652,2020,3003,3136,2893,3057,41584
1,연기면,32,42,197,204,210,278,291,196,35,43,113,110,103,158,257,262,2531
2,연동면,32,43,131,149,181,238,394,321,31,56,80,84,105,205,323,488,2861
3,부강면,110,171,370,408,451,567,603,464,112,163,204,217,257,389,551,657,5694
4,금남면,115,187,452,517,580,791,1044,847,122,151,318,307,359,618,900,1165,8473
5,장군면,89,126,567,632,608,771,688,473,81,149,317,281,255,513,575,605,6730
6,연서면,123,181,515,435,446,674,782,691,122,182,218,244,288,453,688,951,6993
7,전의면,66,172,314,259,359,531,615,528,66,154,178,165,251,412,528,759,5357
8,전동면,27,57,110,136,176,329,490,383,34,41,90,75,114,238,380,507,3187
9,소정면,20,70,125,118,156,230,247,187,35,84,78,53,105,170,209,267,2154
10,한솔동,1046,1660,873,954,1868,1608,728,327,893,1634,846,1057,2185,1499,708,472,18358
11,새롬동,1797,2198,1035,1867,2975,1738,908,354,1769,2239,1085,2231,3268,1718,997,474,26653
12,나성동,826,856,912,1225,1409,908,304,101,876,881,1069,1403,1402,736,251,173,13332
13,도담동,1341,1984,1202,1616,2471,1935,1037,555,1332,1917,1478,1805,2936,1827,1154,860,25450
14,어진동,730,677,634,1189,1163,774,269,79,718,711,832,1198,1213,624,247,142,11200
15,해밀동,831,623,256,722,1061,519,226,114,787,658,260,892,1119,490,249,152,8959
16,아름동,1444,2382,937,1405,2618,1811,734,363,1368,2124,939,1631,3040,1572,834,447,23649
17,종촌동,1796,2134,1192,2084,3005,1995,1051,586,1736,2183,1214,2320,3202,1889,1262,786,28435
18,고운동,2566,2921,1263,2476,4036,2119,1272,640,2453,2807,1290,2848,4260,2119,1468,774,35312
19,소담동,1575,1426,911,1932,2303,1355,821,345,1581,1403,1022,2152,2371,1353,913,473,21936
20,반곡동,2517,1195,1214,3741,2766,1360,743,286,2411,1320,1544,3940,2600,1351,784,381,28153
21,보람동,1238,1471,858,1345,2000,1333,780,320,1208,1426,905,1517,2150,1321,788,381,19041
22,대평동,771,615,618,953,1045,847,548,188,709,591,578,1031,1056,947,534,277,11308
23,다정동,2113,2052,1053,2332,3182,1706,890,391,2103,2099,1208,2733,3331,1736,1118,535,28582
